欄位名稱(中),原始欄位名稱,資料表名稱,資料層級,欄位名稱(英),中文值標籤,序號,型態,簡易說明,資料變動說明,本單位新增,資料涵蓋學年度
,學年度,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所代碼,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所名稱,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數小計,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數男,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數女,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數小計,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,7,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數男,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,8,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數女,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,2,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,5,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所代碼,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所名稱,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,8,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學制班別(日間),學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,9,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,合作學校國家(地區)別,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,10,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,合作學校國家(地區)區域別,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,11,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數本國學生小計,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,12,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數本國學生男,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,13,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數本國學生女,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,14,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數外國學生小計,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,15,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數外國學生男,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,16,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數外國學生女,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,17,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,學11.學校辦理國際合作與交流資料表-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學11.學校辦理國際合作與交流資料表-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學11.學校辦理國際合作與交流資料表-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學11.學校辦理國際合作與交流資料表-以「校」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學11.學校辦理國際合作與交流資料表-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,合作學校國家(地區)別,學11.學校辦理國際合作與交流資料表-以「校」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,合作學校國家(地區)區域別,學11.學校辦理國際合作與交流資料表-以「校」統計,,,,7,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,與國外及兩岸學校建立姊妹校數(109.02新增),學11.學校辦理國際合作與交流資料表-以「校」統計,,,,8,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,建立跨國學位合作 (雙聯學制)學校數,學11.學校辦理國際合作與交流資料表-以「校」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,與國外及兩岸學校進行學術合作交流計畫之件數(109.02新增),學11.學校辦理國際合作與交流資料表-以「校」統計,,,,10,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所代碼,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所名稱,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,日間/進修,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,9,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度總量內核定新生招生名額(A),學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度新生保留入學資格人數(B),學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度總量內新生招生核定名額之實際註冊人數(C),學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,12,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度各學系境外(新生)學生實際註冊人數 (E),學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,13,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度新生註冊率(%)D=〔(C+E)/(A-B+E)〕＊100％,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,14,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度系所招生特色說明,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,15,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度招生特色說明資訊網,學12-1.新生(含境外生)註冊率-以「系(所)」統計,,,,16,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,日間/進修,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度各學制總量內核定新生招生名額(A),學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,8,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度各學制新生保留入學資格人數(B),學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度各學制總量內新生招生核定名額之實際註冊人數(C),學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度各學制境外(新生)學生實際註冊人數(D),學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,11,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度各學制新生註冊率(%)E=〔(C+D)/(A-B+D)〕*100％,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,12,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度各學制招生特色說明,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,,,,13,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學12-3.新生(含境外生)註冊率-以「校」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學12-3.新生(含境外生)註冊率-以「校」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學12-3.新生(含境外生)註冊率-以「校」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學12-3.新生(含境外生)註冊率-以「校」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學12-3.新生(含境外生)註冊率-以「校」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度全校總量內核定新生招生名額(A),學12-3.新生(含境外生)註冊率-以「校」統計,,,,6,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度全校新生保留入學資格人數(B),學12-3.新生(含境外生)註冊率-以「校」統計,,,,7,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度全校總量內新生招生核定名額之實際註冊人數(C),學12-3.新生(含境外生)註冊率-以「校」統計,,,,8,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度全校境外(新生)學生實際註冊人數(D),學12-3.新生(含境外生)註冊率-以「校」統計,,,,9,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度全校新生註冊率(％)E=〔(C+D)/(A-B+D)〕*100％,學12-3.新生(含境外生)註冊率-以「校」統計,,,,10,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,當學年度全校招生特色說明,學12-3.新生(含境外生)註冊率-以「校」統計,,,,11,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所代碼,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所名稱,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,7,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學制班別,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,8,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,性別,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,9,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,在學學生數,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,10,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-總計,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,11,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因傷病,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,12,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因經濟困難,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,13,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因學業成績不佳,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,14,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因志趣不合,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,15,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因工作需求,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,16,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因懷孕,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,17,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因育嬰,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,18,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因兵役,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,19,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因出國,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,20,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因論文撰寫,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,21,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因適應不良,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,22,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因家人傷病,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,23,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因考試訓練,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,24,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,25,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-其他,學13-1.於學年底處於休學狀態之人數-以「系(所)」統計,,,,26,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學制班別,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,性別,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,7,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,在學學生數,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,8,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-總計,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因傷病,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,10,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因經濟困難,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,11,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因學業成績不佳,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,12,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因志趣不合,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,13,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因工作需求,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,14,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因懷孕,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,15,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因育嬰,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,16,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因兵役,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,17,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因出國,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,18,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因論文撰寫,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,19,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因適應不良,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,20,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因家人傷病,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,21,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因考試訓練,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,22,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,23,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,於學年底處於休學狀態之人數-其他,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計,,,,24,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,學14-1.退學人數-以「系(所)」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期,學14-1.退學人數-以「系(所)」統計,,,,2,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學14-1.退學人數-以「系(所)」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學14-1.退學人數-以「系(所)」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學14-1.退學人數-以「系(所)」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學14-1.退學人數-以「系(所)」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所代碼,學14-1.退學人數-以「系(所)」統計,,,,7,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所名稱,學14-1.退學人數-以「系(所)」統計,,,,8,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學制班別,學14-1.退學人數-以「系(所)」統計,,,,9,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,性別,學14-1.退學人數-以「系(所)」統計,,,,10,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,在學學生數,學14-1.退學人數-以「系(所)」統計,,,,11,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-小計,學14-1.退學人數-以「系(所)」統計,,,,12,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因成績不佳或曠課時數過多,學14-1.退學人數-以「系(所)」統計,,,,13,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因操行成績,學14-1.退學人數-以「系(所)」統計,,,,14,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因志趣不合,學14-1.退學人數-以「系(所)」統計,,,,15,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因逾期未註冊,學14-1.退學人數-以「系(所)」統計,,,,16,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因休學逾期未復學,學14-1.退學人數-以「系(所)」統計,,,,17,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因懷孕,學14-1.退學人數-以「系(所)」統計,,,,18,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因育嬰,學14-1.退學人數-以「系(所)」統計,,,,19,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因傷病,學14-1.退學人數-以「系(所)」統計,,,,20,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因工作需求,學14-1.退學人數-以「系(所)」統計,,,,21,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因經濟困難,學14-1.退學人數-以「系(所)」統計,,,,22,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因生涯規劃,學14-1.退學人數-以「系(所)」統計,,,,23,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-其他(不含死亡),學14-1.退學人數-以「系(所)」統計,,,,24,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,學14-2.退學人數-以「校(含學制班別)」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期,學14-2.退學人數-以「校(含學制班別)」統計,,,,2,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學14-2.退學人數-以「校(含學制班別)」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學14-2.退學人數-以「校(含學制班別)」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學14-2.退學人數-以「校(含學制班別)」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學14-2.退學人數-以「校(含學制班別)」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學制班別,學14-2.退學人數-以「校(含學制班別)」統計,,,,7,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,性別,學14-2.退學人數-以「校(含學制班別)」統計,,,,8,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,在學學生數,學14-2.退學人數-以「校(含學制班別)」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-小計,學14-2.退學人數-以「校(含學制班別)」統計,,,,10,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因成績不佳或曠課時數過多,學14-2.退學人數-以「校(含學制班別)」統計,,,,11,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因操行成績,學14-2.退學人數-以「校(含學制班別)」統計,,,,12,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因志趣不合,學14-2.退學人數-以「校(含學制班別)」統計,,,,13,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因逾期未註冊,學14-2.退學人數-以「校(含學制班別)」統計,,,,14,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因休學逾期未復學,學14-2.退學人數-以「校(含學制班別)」統計,,,,15,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因懷孕,學14-2.退學人數-以「校(含學制班別)」統計,,,,16,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因育嬰,學14-2.退學人數-以「校(含學制班別)」統計,,,,17,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因傷病,學14-2.退學人數-以「校(含學制班別)」統計,,,,18,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因工作需求,學14-2.退學人數-以「校(含學制班別)」統計,,,,19,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
